Marca temporal,1. Creo que usaría este sitio web frecuentemente,2. Encuentro este sitio web innecesariamente complejo,3. Creo que el sitio web fue fácil de usar,4. Creo que necesitaría ayuda de una persona con conocimientos técnicos para usar este sitio web,5. Encontré todas las funciones del sitio web bien integradas,6. Este sitio web contiene muchas inconsistencias en su contenido y funcionalidad,7. Imagino que la mayoría de la gente aprendería a usar este sitio web en forma muy rápida,8. Encuentro que el sitio web es muy difícil de usar,9. Sentí confianza usando el sitio web,10. Necesito aprender muchas cosas antes de usar este sitio web
8/2/2025 23:28:57,5,1,5,1,5,1,5,1,5,1
9/2/2025 8:21:17,4,3,4,3,4,2,4,1,5,1
9/2/2025 10:07:24,4,2,5,1,5,1,5,1,5,1
9/2/2025 10:21:24,4,2,5,2,5,1,5,1,5,1
9/2/2025 11:14:50,5,3,4,1,3,1,5,1,3,1
9/2/2025 12:56:07,4,1,5,1,4,4,5,1,4,1
9/2/2025 13:37:07,4,2,4,1,5,2,5,4,5,1
9/2/2025 13:57:37,3,1,4,1,4,2,4,2,4,2
9/2/2025 14:27:03,5,1,4,2,4,2,5,1,1,1
9/2/2025 14:58:27,4,2,5,2,5,2,5,1,4,1
9/2/2025 15:19:03,4,2,5,3,5,2,5,2,4,4
9/2/2025 17:05:16,3,3,3,2,4,3,5,3,3,5
9/2/2025 17:15:26,5,1,5,1,5,1,5,1,5,1
9/2/2025 17:22:49,4,5,5,3,4,1,4,1,5,3
9/2/2025 17:36:52,5,5,5,1,4,2,4,1,4,2
9/2/2025 17:39:06,4,4,4,3,4,2,4,2,4,2
9/2/2025 18:03:28,5,5,5,5,5,5,5,5,3,3
9/2/2025 18:03:50,4,5,5,1,3,1,5,1,5,1
9/2/2025 18:14:28,5,2,5,1,5,2,4,4,4,1
9/2/2025 19:41:39,4,2,5,3,5,1,4,4,5,2
9/2/2025 20:15:41,5,1,3,5,4,1,4,2,5,3
9/2/2025 20:23:11,4,3,4,2,5,2,5,1,4,3
9/2/2025 21:00:19,5,1,4,1,5,1,5,1,5,1
9/2/2025 21:32:29,5,2,5,1,3,1,4,1,3,1
9/2/2025 21:49:39,4,2,4,3,4,2,4,2,4,2
