ID;Oracion_ID;Oracion
1;1;objet general alcanz buen viv democraci just igualitari plurinacional intercultural derech justici promuev libertad capac aspir socied solidari igual oportun econom polit cultural ecolog tod ecuatorian pod camin junt sigu hoj rut traz constitu republ
1;2;objet especif objet
1;3;justici buen viv objet
1;4;justici alcanz paz segur orden objet
1;5;justici bienest econom iguald oportun objet
1;6;justici etic transparent luch corrupcion objet
1;7;justici democrat particip deliber objet
1;8;justici empoder proteccion mujer niñ objet
1;9;justici reconoc valor divers plurinacional intercultural objet
1;10;justici ecolog transicion energet futur limpi sosten objet
1;11;justici digital nuev econom inform objet
1;12;justici internacional soberan integr objet
1;13;justici desarroll conoc objet
1;14;justici construccion socied respet valor intergeneracional cumplimient plan gobiern evalu period mediant mecan public vigil rendicion cuent
1;15;rendicion cuent har public anual asamble marc norm constitucional realiz asambl popular direct abiert
1;16;control period plan activ instanci señal constitu ley organ particip ciudadan consej particip ciudadan consej nacional planif consej consult particip cad ministeri consej nacional iguald asamble plurinacional intercultural buen viv consej ciudadan sectorial
1;17;continu detall propuest estrategi plurianual realiz cad objet especif
1;18;justici buen viv justici buen viv diagnost moment vid encuentr somet amenaz constant propuest centr defens asi proteccion derech human naturalez
1;19;unim abog valor respet tod form vid reconoc cad ser derech innat exist crec armon entorn
1;20;afirm justici vid reproduccion vid deb prevalec tod esfer socied
1;21;implic recuper bien servici public recuper integral econom emple salud aliment
1;22;reconoc aspect fundamental vid intrinsec entrelaz fortalec crucial buen viv socied
1;23;ultim siet años gobi dad espald puebl ecuatorian entreg pais interes minor ric dej cicatric econom permit perd emple precariz laboral afect salud millon person agrav desiguald social
1;24;situacion cre capac ecuador levant junt junt conviccion pod super desafi constru futur prosper equit
1;25;abog recuper econom inclus sosten
1;26;rechaz polit practic perpetu desiguald concentr riquez lug promov enfoqu foment acces equit oportun econom asi creacion emple dign emprend innov
1;27;reconoc emple pil fundamental dignid estabil econom person
1;28;compromet impuls polit program foment ingres basic universal gener emple dign establ apoy capac contrat empres particul pequeñ median asi formacion cualif profesional permanent
1;29;busc constru socied cad person oportun contribu prosper import orig gener cualqui caracterist personal socied trabaj asalari caracteric competent condicion laboral dign nunc socied salari baj trabaj barat
1;30;salud derech human fundamental
1;31;defend sistem salud acces resilient equit garantic atencion medic tod person independient situacion econom
1;32;fortalec investig cientif prevencion enfermedad promocion estil vid salud
1;33;defend acces universal medicament tratamient sosten promov colabor global abord desafi sanitari
1;34;aliment derech basic ser human
1;35;compromet promov sistem alimentari sosten garantic segur alimentari divers aliment nutrit acces equit
1;36;abog proteccion medi ambient promocion agricultur regener apoy pequeñ agricultor productor local
1;37;aqu llam accion aquell compart vision recuper integral patri
1;38;instam tod ecuatorian unirs mision
1;39;junt junt pod constru futur econom inclus sosten emple dign abund salud derech aliment segur nutrit propon econom deud public credit inversion social estabiliz crecimient nivel produccion agreg cons deten caid produccion recuper nivel produccion real
1;40;recuper profundiz instrument gestion liquidez econom protej dolariz
1;41;impuls transicion haci econom post petroler estimul produccion petroler incent sector valor agreg procur proces increment relat particip manufactur industri alta incorpor conoc tecnolog frent produccion total
1;42;orient polit econom incentiv formaliz micr pequeñ empres mediant regimen simplific exencion nivel tribut permit manten evit cierr critic situacion econom enfrent pais
1;43;realiz auditor integral deud public año
1;44;establec principi irrenunci cualqui negoci acreedor deud public priorid trabaj dign crecimient inclus condicion necesari cumpl cualqui compromis
1;45;recuper inversion estatal sector social aplic presupuest social sectorial acuerd proporcion señal constitu
1;46;apoy econom dand priorid sector social solidari credit acces acces preferencial compr public aplic inclusion econom perch mecan liquidez traves institu finanz popular difer pag apoy desarroll herramient virtual promov espaci negoci entren contact direct productor consumidor apoy productor eps incorpor mecan asegur altos estandar calid apoy proces incorpor valor agreg etc
1;47;fortalec rol orient desarroll agrari promov estructur agrari combin diferent form organiz produccion consider unidad familiar form organiz social produccion produccion empresarial
1;48;cuid particular sostenibil product financ micr pequeñ median empres empres econom popul solidari establec incent tributari adecu mejor condicion acces merc nacional promov asi sostenibil emple gener sector
1;49;elabor plan vincul cientificotecnolog aplic econom social popul permit articul diferent disposit tecnolog financi investig aplic territori
1;50;impuls soberan alimentari fortalec productor econom popul agricultur famili produc buen part aliment pais
1;51;financi produccion red comercializ
1;52;prioriz part compr aliment organiz agricultur famili econom popul
1;53;apoy cooperativ agrari form produccion econom popul pequeñ median empres mediant fortalec organiz social ingres caden valor proces product comercial
1;54;reactiv polit public produccion agricol preci sustent mediant unid nacional almacen medi proteccion pequeñ agricultor
1;55;recuper reconstru capac sector public brind servici esencial calid are salud educ bienest social justici segur
1;56;busc convergent polit econom laboral polit social revert rapid increment pobrez desiguald reinstaur agend public decid reduccion pobrez extrem pobrez desiguald
