ID,Nombre,Ingredientes,Instrucciones,URL,tk_ing
1,Chris' Bay Area Burger,"1 pound ground beef; 2 cloves garlic, minced; 2 tablespoons extra virgin olive oil; 1 ½ teaspoons salt; 1 teaspoon freshly ground black pepper; ½ teaspoon dried basil leaves; 4 hamburger buns, split","Preheat an outdoor grill for high heat. Mix together the ground beef, garlic, olive oil, salt, pepper, and basil. Divide into four balls, and flatten into patties. Cook the patties for about 3 to 5 minutes on each side, or to desired doneness. The internal temperature should be at least 160 degrees F (70 degrees C). Remove from grill and place onto hamburger buns. Top with desired toppings and condiments.",https://www.allrecipes.com/recipe/44839/chris-bay-area-burger/,"['ground beef', 'garlic', 'minced', 'extra virgin olive oil', '½  salt', 'freshly ground black pepper', '½  dried basil leaves', 'hamburger buns', 'split']"
2,Sausage Applesauce Appetizer,"2 pounds Italian sausage; ¾ cup packed brown sugar; 1 cup chunky applesauce; 1 onion, chopped","Preheat oven to 325 degrees F (165 degrees C). In a large skillet, fry sausage until it is browned. Drain well. Cut the sausage into bite-size pieces. In a small casserole dish, combine sausage, brown sugar, applesauce, and onion. Bake at 325 degrees F (165 degrees C) for 45 minutes. Serve with toothpicks for easy nibbling.",https://www.allrecipes.com/recipe/16972/sausage-applesauce-appetizer/,"['italian sausage', '¾  packed brown sugar', 'chunky applesauce', 'onion', 'chopped']"
3,Best Breakfast Pizza,"1 pound ground breakfast sausage; 1 (8 ounce) package refrigerated crescent rolls; 1 cup frozen hash brown potatoes, thawed; 1 cup shredded Cheddar cheese; 5 eggs; ¼ cup milk; ½ teaspoon salt; ⅛ teaspoon ground black pepper; ¼ cup grated Parmesan cheese","Preheat the oven to 375 degrees F (190 degrees C). Meanwhile, cook sausage in a large, deep skillet over medium high heat until evenly browned. Drain, crumble, and set aside. Separate crescent roll dough into 8 triangles. Place on an ungreased 12-inch pizza pan with points toward the center; press dough together to form a crust. Bottom crust should be sealed and outside edge should be slightly raised. Spoon sausage over crust; sprinkle with hash browns and top with Cheddar cheese. Beat eggs, milk, salt, and black pepper together in a bowl; pour over crust. Sprinkle with Parmesan cheese. Bake in the preheated oven until eggs are set, 25 to 30 minutes.",https://www.allrecipes.com/recipe/20697/breakfast-pizza-i/,"['ground breakfast sausage', 'package refrigerated crescent rolls', 'frozen hash brown potatoes', 'thawed', 'shredded cheddar cheese', 'eggs', '¼  milk', '½  salt', '⅛  ground black pepper', '¼  grated parmesan cheese']"
4,Delicious Gluten-Free Pancakes,1 cup rice flour; 3 tablespoons tapioca flour; ⅓ cup potato starch; 4 tablespoons dry buttermilk powder; 1 packet sugar substitute; 1 ½ teaspoons baking powder; ½ teaspoon baking soda; ½ teaspoon salt; ½ teaspoon xanthan gum; 2 eggs; 3 tablespoons canola oil; 2 cups water,"In a bowl, mix or sift together rice flour, tapioca flour, potato starch, dry buttermilk powder, sugar substitute, baking powder, baking soda, salt, and xanthan gum. Stir in eggs, water, and oil until well blended and few lumps remain. Heat a large, well-oiled skillet or griddle over medium-high heat. Spoon batter onto skillet and cook until bubbles begin to form. Flip and continue cooking until golden brown on bottom. Serve immediately with condiments of your choice.",https://www.allrecipes.com/recipe/33176/delicious-gluten-free-pancakes/,"['rice flour', 'tapioca flour', '⅓  potato starch', 'dry buttermilk powder', 'packet sugar substitute', '½  baking powder', '½  baking soda', '½  salt', '½  xanthan gum', 'eggs', 'canola oil', 'water']"
5,Favorite Bourbon Pecan Pie,"½ cup white sugar; ½ cup brown sugar; 3 tablespoons unsalted butter, melted; ½ cup light corn syrup; 3 large eggs, beaten; 2 tablespoons bourbon; 2 cups pecan halves; 1 (9 inch) unbaked deep-dish pie crust","Gather all your ingredients and preheat the oven to 375 degrees F (190 degrees C).
ALLRECIPES/JULIA HARTBECK Mix white sugar, brown sugar, and butter together in a bowl.
ALLRECIPES/JULIA HARTBECK Stir in corn syrup, eggs, and bourbon, then fold in pecans.
ALLRECIPES/JULIA HARTBECK Pour mixture into the pie crust.
ALLRECIPES/JULIA HARTBECK Bake in the preheated oven for 10 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until the pie is set, 25 to 30 minutes more.
ALLRECIPES/JULIA HARTBECK Remove from the oven and place on a wire rack. Allow to cool completely before serving.
ALLRECIPES/JULIA HARTBECK",https://www.allrecipes.com/recipe/155135/favorite-bourbon-pecan-pie/,"['½  white sugar', '½  brown sugar', 'unsalted butter', 'melted', '½  light corn syrup', 'large eggs', 'beaten', 'bourbon', 'pecan halves', 'inch unbaked deepdish pie crust']"
6,Sensational Steak Kabobs,"¼ cup soy sauce; 3 tablespoons light brown sugar; 3 tablespoons distilled white vinegar; ½ teaspoon garlic powder; ½ teaspoon seasoned salt; ½ teaspoon garlic pepper seasoning; 4 fluid ounces lemon-lime flavored carbonated beverage; 2 pounds beef sirloin steak, cut into 1 ½ inch cubes; 2 green bell peppers, cut into 2-inch pieces; 8 skewers; ½ pound fresh mushrooms, stems removed; 1 pint cherry tomatoes; 1 fresh pineapple - peeled, cored and cubed","Mix soy sauce, light brown sugar, distilled white vinegar, garlic powder, seasoned salt, garlic pepper seasoning, and lemon-lime flavored carbonated beverage in a medium bowl. Reserve about 1/2 cup of this marinade for basting. Place steak cubes in a large resealable plastic bag. Cover with the remaining marinade, and seal. Refrigerate for 8 hours, or overnight. Bring a saucepan of water to a boil. Add green peppers, and cook for 1 minute, just to blanch. Drain, and set aside. Preheat grill for high heat. Thread steak, green peppers, mushrooms, tomatoes, and pineapple onto skewers in an alternating fashion. Discard marinade and the bag. Lightly oil the grill grate. Cook kabobs on the prepared grill for 10 minutes, or to desired doneness. Baste frequently with reserved marinade during the last 5 minutes of cooking.",https://www.allrecipes.com/recipe/25483/sensational-sirloin-kabobs/,"['¼  soy sauce', 'light brown sugar', 'distilled white vinegar', '½  garlic powder', '½  seasoned salt', '½  garlic pepper seasoning', 'fluid  lemonlime flavored carbonated beverage', 'beef sirloin steak', 'cut into  ½ inch cubes', 'green bell peppers', 'cut into inch pieces', 'skewers', '½  fresh mushrooms', 'stems removed', 'pint cherry tomatoes', 'fresh pineapple  peeled', 'cored and cubed']"
7,Beef Bulgogi,"5 tablespoons soy sauce; ¼ cup chopped green onion; 2 ½ tablespoons white sugar; 2 tablespoons minced garlic; 2 tablespoons sesame seeds; 2 tablespoons sesame oil; ½ teaspoon ground black pepper; 1 pound flank steak, thinly sliced","Gather all ingredients.
DOTDASH MEREDITH FOOD STUDIOS Whisk soy sauce, green onion, sugar, garlic, sesame seeds, sesame oil, and pepper together in a bowl.
DOTDASH MEREDITH FOOD STUDIOS Place flank steak slices in a shallow dish. Pour marinade over top. Cover and refrigerate for at least 1 hour or overnight.
DOTDASH MEREDITH FOOD STUDIOS Preheat an outdoor grill for high heat, and lightly oil the grate. Quickly grill flank steak slices on the preheated grill until slightly charred and cooked through, 1 to 2 minutes per side.
DOTDASH MEREDITH FOOD STUDIOS Serve hot and enjoy!
DOTDASH MEREDITH FOOD STUDIOS ",https://www.allrecipes.com/recipe/100606/beef-bulgogi/,"['soy sauce', '¼  chopped green onion', '½  white sugar', 'minced garlic', 'sesame seeds', 'sesame oil', '½  ground black pepper', 'flank steak', 'thinly sliced']"
8,Jumbo Breakfast Cookies,2 cups white sugar; 1 cup peanut butter; 1 cup butter; ½ cup water; 2 tablespoons vanilla extract; 2 large eggs; 2 ¼ cups all-purpose flour; 1 teaspoon baking soda; ½ teaspoon salt; 1 ½ cups rolled oats; 1 ½ cups raisins; 6 cups toasted oat cereal rings (such as Cheerios),"Preheat the oven to 375 degrees F (190 degrees C). Mix sugar, peanut butter, butter, water, vanilla, and eggs together in a very large bowl until smooth. Combine flour, baking soda, and salt; stir into cookie batter. Mix in oats and raisins, then carefully stir in cereal. Drop 1/2 cupfuls of dough onto ungreased cookie sheets, spacing cookies about 4 inches apart. Flatten cookies to 1 inch thick. Bake in the preheated oven until cookies are lightly browned at the edges, about 10 to 12 minutes. Let stand on the cookie sheets for 5 minutes before removing to wire racks to cool completely. Store at room temperature.",https://www.allrecipes.com/recipe/144059/jumbo-breakfast-cookies/,"['white sugar', 'peanut butter', 'butter', '½  water', 'vanilla extract', 'large eggs', '¼  allpurpose flour', 'baking soda', '½  salt', '½  rolled oats', '½  raisins', 'toasted oat cereal rings such as cheerios']"
9,Vegan Agave Cornbread Muffins,½ cup cornmeal; ½ cup whole wheat pastry flour; ½ teaspoon baking soda; ½ teaspoon salt; ½ cup applesauce; ½ cup soy milk; ¼ cup agave nectar; 2 tablespoons canola oil,"Preheat the oven to 325 degrees F (165 degrees C). Lightly grease a 6-cup muffin tin. Combine cornmeal, flour, baking soda, and salt in a large bowl; stir in applesauce, soy milk, and agave nectar. Slowly stir in oil while continually stirring. Pour into the prepared muffin tin. Bake in the preheated oven until a toothpick or small knife inserted in the crown of a muffin comes out clean, 15 to 20 minutes.",https://www.allrecipes.com/recipe/152175/vegan-agave-cornbread-muffins/,"['½  cornmeal', '½  whole wheat pastry flour', '½  baking soda', '½  salt', '½  applesauce', '½  soy milk', '¼  agave nectar', 'canola oil']"
10,Butter Flaky Pie Crust,"1 ¼ cups all-purpose flour; ¼ teaspoon salt; ½ cup butter, diced and then chilled; ¼ cup ice cold water, or as needed","Gather all ingredients.
DOTDASH MEREDITH FOOD STUDIOS Combine flour and salt in a large bowl. Use a pasty blender to cut in chilled, diced butter until mixture resembles coarse crumbs.
DOTDASH MEREDITH FOOD STUDIOS Add 1 tablespoon cold water at a time, mixing with a spatula or your hands until the dough comes together; you may need less than 1/4 cup water.
DOTDASH MEREDITH FOOD STUDIOS Shape dough into a disc, wrap in plastic, and refrigerate for at least 4 hours or overnight.
DOTDASH MEREDITH FOOD STUDIOS Place chilled dough on a generously floured surface and roll out to an 11-inch circle, adding more flour to your rolling pin as needed.
DOTDASH MEREDITH FOOD STUDIOS Carefully roll dough onto the rolling pin, then unroll over a 9-inch pie dish. Press dough evenly into the bottom and sides of the dish. Trim any excess dough and flute the edges.
DOTDASH MEREDITH FOOD STUDIOS Blind-bake or fill and bake as directed in your pie recipe.
DOTDASH MEREDITH FOOD STUDIOS Enjoy!
DOTDASH MEREDITH FOOD STUDIOS",https://www.allrecipes.com/recipe/24094/butter-flaky-pie-crust/,"['¼  allpurpose flour', '¼  salt', '½  butter', 'diced and then chilled', '¼  ice cold water', 'or as needed']"
